1.780000000000000000e+02,2.060000000000000000e+02,2.060000000000000000e+02
5.900000000000000000e+01,9.400000000000000000e+01,1.060000000000000000e+02
1.450000000000000000e+02,1.620000000000000000e+02,1.730000000000000000e+02
1.550000000000000000e+02,7.600000000000000000e+01,7.500000000000000000e+01
1.800000000000000000e+01,4.000000000000000000e+00,4.000000000000000000e+00
3.200000000000000000e+01,4.500000000000000000e+01,3.800000000000000000e+01
4.400000000000000000e+01,5.100000000000000000e+01,3.800000000000000000e+01
6.600000000000000000e+01,1.380000000000000000e+02,1.230000000000000000e+02
6.500000000000000000e+01,1.120000000000000000e+02,1.180000000000000000e+02
1.210000000000000000e+02,1.440000000000000000e+02,1.270000000000000000e+02
1.370000000000000000e+02,1.730000000000000000e+02,1.850000000000000000e+02
9.700000000000000000e+01,8.200000000000000000e+01,7.400000000000000000e+01
1.280000000000000000e+02,9.100000000000000000e+01,5.500000000000000000e+01
1.670000000000000000e+02,1.730000000000000000e+02,1.590000000000000000e+02
2.000000000000000000e+00,2.000000000000000000e+01,7.000000000000000000e+00
1.430000000000000000e+02,1.460000000000000000e+02,1.620000000000000000e+02
1.160000000000000000e+02,8.800000000000000000e+01,9.700000000000000000e+01
9.600000000000000000e+01,1.180000000000000000e+02,1.240000000000000000e+02
9.500000000000000000e+01,1.490000000000000000e+02,1.630000000000000000e+02
1.770000000000000000e+02,1.680000000000000000e+02,1.710000000000000000e+02
6.400000000000000000e+01,7.900000000000000000e+01,9.900000000000000000e+01
5.700000000000000000e+01,6.400000000000000000e+01,7.300000000000000000e+01
6.800000000000000000e+01,7.900000000000000000e+01,7.100000000000000000e+01
1.540000000000000000e+02,1.520000000000000000e+02,1.560000000000000000e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.530000000000000000e+02,1.440000000000000000e+02,1.380000000000000000e+02
1.670000000000000000e+02,1.740000000000000000e+02,1.840000000000000000e+02
1.730000000000000000e+02,1.390000000000000000e+02,1.090000000000000000e+02
3.200000000000000000e+01,2.300000000000000000e+01,1.500000000000000000e+01
9.100000000000000000e+01,9.100000000000000000e+01,1.190000000000000000e+02
1.630000000000000000e+02,1.830000000000000000e+02,1.870000000000000000e+02
1.720000000000000000e+02,1.850000000000000000e+02,1.820000000000000000e+02
1.540000000000000000e+02,1.250000000000000000e+02,1.450000000000000000e+02
1.830000000000000000e+02,1.870000000000000000e+02,1.790000000000000000e+02
